date,open_stock,high_stock,low_stock,close_stock,volume,EMA12,EMA26,MACD_diff,MACD_dea,MACD_hist,RSV,KDJ_K,KDJ_D,KDJ_J,RSI,MA20,STD20,BOLL_upper,BOLL_middle,BOLL_lower,MA5_stock,volatility,return,next_day_return,label
2022-02-07,2.047532824611107,2.0548462082117966,2.0749209382665224,2.032679145580534,14484972000,4702.609146723494,4748.0448690510975,-0.8790904207916894,-0.5032231463929471,-1.364947621406051,26.426731010135775,-1.2316785519861508,-1.1420188935920594,-1.103949388740789,-0.6791199874076281,4756.9105,76.6658494352707,2.3325047390060583,2.4188836778472482,2.353617134139943,2.0681009927440317,0.15053733655375404,1.353886433301592,-0.005463208526377349,0
2022-02-08,2.0134250470570416,1.9257811105144311,1.8119610506989123,1.9614567184296443,15583070800,4688.172816458341,4737.728434306572,-0.9615911250403585,-0.6058227159966717,-1.3165236223443377,27.108815972157018,-1.1287743436121402,-1.1852319793332242,-0.8502358474275166,-0.8602138650249764,4746.547500000001,82.070832835199,2.3337203589966515,2.389186807720577,2.293617358699672,2.0286325561853964,0.2707402656818647,-0.4901015219764459,0.009392521610415518,1
2022-02-09,1.9620357707422664,2.0180035781423125,2.0188756478585823,2.083235619030335,14833554700,4682.617152387827,4731.382698432011,-0.9457699761994296,-0.6845498743551708,-1.012117074582085,43.80497170710595,-0.8347545420548254,-1.1031855110824549,-0.3647185569418558,-0.46104233699508934,4738.3489,82.94955143300581,2.3162022653257686,2.3656923795221254,2.265404024136849,1.9945045200382934,0.29028233297796885,0.8224223631526922,-0.00262206364018,0
2022-02-10,2.0998999808557586,2.0117202523137414,2.0552729746786262,2.0489198957461183,15157666600,4676.039590482008,4724.603461511121,-0.9417314439868092,-0.7466758371164952,-0.8004286704007672,42.13231309241407,-0.6613241251137777,-0.9830988608945941,-0.1618414311577145,-0.35903740892828856,4729.5404,83.61717062296188,2.2958771623802936,2.3404501831976248,2.23665878353487,2.005825398551753,0.3051297018294478,-0.2390825219065133,-0.008290762033275518,0
2022-02-11,1.9893630187825755,2.0267583454634526,2.020557972770938,1.9407007415161377,15597458400,4664.555807330929,4715.476908806594,-0.9889348672151955,-0.8063790004305418,-0.7695345974020207,30.48200216283055,-0.7029962283219998,-0.9187528556268508,-0.3191549948011795,-0.7214561630119313,4718.808500000001,85.68043238225741,2.277912455160978,2.3096961698315717,2.194553107795658,2.0271365869992617,0.35101515395287736,-0.739919705270775,-0.010802593561300504,0
2022-02-14,1.8813072865314606,1.8341702199338645,1.833518680403539,1.800863747149139,14367389400,4647.191529280017,4703.344397043143,-1.0937007286354548,-0.8763413898682468,-0.9003540431184549,14.866886487146862,-0.9415993623185948,-0.9658167938711828,-0.7358986354473015,-1.1524548947820845,4705.5912499999995,90.16485998312426,2.2663580541487454,2.271819979859381,2.131682309263666,1.980460762358704,0.45074558662993097,-0.9618434239702713,0.010636713236935389,1
2022-02-15,1.8093460016919418,1.8560110605139797,1.891735079313237,1.9370660543146931,11502560000,4639.947140160014,4695.696886151058,-1.085628235066568,-0.9306007421307334,-0.7001184118373195,41.74548974269376,-0.7377765582443903,-0.9203448126100041,-0.3860391826371021,-0.7633575900521646,4695.707700000001,90.36206639438511,2.2405503546728545,2.2434970520642987,2.1025567045638613,1.9755497237961268,0.45513131485931124,0.9323483790703069,0.003888173808282013,1
2022-02-16,1.994904338385196,1.9723140253062013,2.0527921137859093,1.9873834036065041,10725895500,4636.568964750781,4689.940746436165,-1.0380096173339413,-0.9639178512282744,-0.43307559497424786,63.601073357170556,-0.30681957804818083,-0.7275451197954363,0.24110346871974778,-0.8666049675970451,4685.8055,87.28106596115741,2.1968603899766013,2.215120679646239,2.0919577596811774,1.9562499653296685,0.38661208930093843,0.33610577717316864,0.0024201010439826483,1
2022-02-17,1.9866148389796525,1.9920269128723693,2.0520362042813716,2.0188240105440705,11001464300,4635.429893250661,4685.438839292746,-0.970668999724672,-0.9763020791494811,-0.16615215652686707,71.04266128656359,0.08095493344523015,-0.45280817189413125,0.6874561203020749,-0.6765944688920997,4678.9678,86.02221119638773,2.1714163908967556,2.195526132809883,2.0797158069788515,1.9501901855669859,0.35861606805983687,0.20639955940347618,0.0047678144978629865,1
2022-02-18,1.9519703514640763,1.9953305459635693,2.0268809000175505,2.080914708085141,10455022800,4637.861601981328,4682.905295641432,-0.8712400660939787,-0.9651404963105095,0.13408977941090505,91.89295272078525,0.6209738032211498,-0.06604522758167355,1.3042040898302898,-0.5920332151352053,4675.193,85.47060042155553,2.158149587831723,2.1847088264937424,2.0721451104106077,1.9784221432368245,0.3463486426179129,0.41382322389406756,-0.0036381727351610564,0
2022-02-21,2.0685431931044125,1.9822891541327126,2.070067203553167,2.033309308067472,11251651200,4637.315817061124,4679.305940408733,-0.8100924714541714,-0.9432540706389956,0.2708464877471843,78.66137514241144,0.8023451127655025,0.26017971919615923,1.2826523465125617,-0.20285225101263377,4668.5449,83.06849306819778,2.1270026151695736,2.165657609443743,2.066919923757244,2.0252248505345922,0.2929275090844398,-0.3288571371411106,-0.012981640864214218,0
2022-02-22,1.9445266619978765,1.8577229177286065,1.8924767799925037,1.8640628554931273,12331723700,4627.598460590182,4671.51683371179,-0.8487055779093761,-0.9339270373167844,0.11069671369335697,33.270207259750364,0.3104271875693863,0.29219368540610685,0.2731514511970062,-0.678252482827284,4656.5851999999995,78.19968044463035,2.0679921868307516,2.131385134518144,2.060623026990546,2.0105257212728924,0.18464863097789633,-1.1543652055027092,0.01068919207556007,1
2022-02-23,1.8885739460103552,1.9226003513505454,1.9734415081647294,2.0016126976195863,12295291600,4626.898235884,4667.9264756590655,-0.7908308004378252,-0.9142017603654073,0.24328882654824535,70.16048106595036,0.4805423459271897,0.37767537207070867,0.5097864753202919,0.05449764765128674,4648.718650000001,72.81957218125325,2.0173327871678337,2.1088422498616795,2.0688230748839542,2.0133907769879467,0.06499890693011133,0.9369849555646625,-0.02027407465249632,0
2022-02-24,1.9168509739825554,1.8823340068518053,1.7153552476658562,1.737934708442411,18440305800,4611.8860457480005,4657.659255239876,-0.8858485845819863,-0.9185557825513394,-0.06375583046723977,25.07767121437302,-0.014716497699000951,0.24793419476464562,-0.31789463879844304,-0.14346306228356978,4634.38295,66.0554195453592,1.9415507786670154,2.0677609586260375,2.066535086486185,1.9568339654171,-0.08543096486466263,-1.7986616109777491,0.009737887748687996,1
2022-02-25,1.8397530095113965,1.8850735369130616,1.9239976379787553,1.8620148274105799,14972258300,4605.96896178677,4651.4196807776625,-0.8793907282331089,-0.9206705822193774,-0.035202619426193946,52.15882995837101,0.0207372282635738,0.1748073041440945,-0.16264232125761843,-0.2961705856128105,4624.0885,57.80839447920568,1.868693832045414,2.0382605297275007,2.0841034612573774,1.91275866880893,-0.26883884906977495,0.8529359293943584,0.0017975587224016024,1
2022-02-28,1.8372549196905414,1.8006982450977527,1.8352777329723733,1.8851423533262663,13540697800,4602.226967665728,4646.251259979317,-0.8508266044956452,-0.9163096915630639,0.0473714664407118,57.20653789004463,0.11252281469117227,0.16066224630433676,0.03523649026473157,-0.11707382221203556,4613.8339,43.97234089133183,1.7655441944550645,2.0088742975166554,2.133461046765009,1.8829253840322404,-0.5765426930553096,0.15139710182953087,0.008302692962310917,1
2022-03-01,1.9331096328166133,1.9173865872074594,1.9865761462473537,1.9921574470901344,12313922000,4604.912972640232,4644.283462943813,-0.757634449175876,-0.8930735855640414,0.28805679486107805,80.56316235432813,0.48905406652297956,0.2931969462559218,0.6250145652283607,-0.14871592248261759,4610.89565,41.310110720179736,1.7430720200747991,2.0004542619430112,2.140223069586135,1.9087171163125065,-0.6357487702821071,0.7261345255194079,-0.008893461590246619,0
2022-03-02,1.9223248535900113,1.835245366797865,1.9141821814799718,1.8765760820194581,11329832500,4600.864976849427,4639.418095318345,-0.7412666185706746,-0.8710163617166798,0.2730244027696689,55.336902729851545,0.3994918498351964,0.34778549426276567,0.38441879907157017,-0.2953648509913523,4604.21015,34.24980422883534,1.6864854304749348,1.9812958690807239,2.1612926302930155,1.8835411047839719,-0.7927648900380103,-0.7931690277071152,-0.005891100796946482,0
