date,晚盘价,早盘价
2022-10-12,392.86,393.26
2022-10-13,392.39,391.65
2022-10-16,390.66,391.14
2022-10-17,391.3,390.67
2022-10-18,390.43,391.44
2022-10-19,388.63,388.65
2022-10-20,388.23,388.91
2022-10-23,393.1,392.49
2022-10-24,393.94,394.19
2022-10-25,394.09,394.19
2022-10-26,393.24,392.55
2022-10-27,392.96,393.66
2022-10-30,391.77,391.83
2022-10-31,392.0,392.4
2022-11-01,392.71,392.83
2022-11-02,391.74,391.73
2022-11-03,391.8,391.54
2022-11-06,394.46,394.39
2022-11-07,395.57,395.9
2022-11-08,403.65,402.29
2022-11-09,403.87,403.79
2022-11-10,407.18,408.9
2022-11-13,403.5,405.8
2022-11-14,404.87,405.57
2022-11-15,406.81,406.58
2022-11-16,407.55,407.62
2022-11-17,407.12,407.73
2022-11-20,404.87,405.08
2022-11-21,404.81,404.78
2022-11-22,404.3,404.43
2022-11-23,405.88,406.57
2022-11-24,406.94,407.52
2022-11-27,407.64,408.04
2022-11-28,406.52,406.81
2022-11-29,405.85,405.58
2022-11-30,406.99,405.84
2022-12-01,409.51,409.49
2022-12-04,405.51,407.85
2022-12-05,401.37,401.87
2022-12-06,401.5,401.72
2022-12-07,402.88,402.65
2022-12-08,404.09,403.85
2022-12-11,403.91,404.63
2022-12-12,403.74,403.44
2022-12-13,408.22,407.79
2022-12-14,404.87,405.26
2022-12-15,403.0,402.35
2022-12-18,405.78,405.45
2022-12-19,405.92,404.77
2022-12-20,409.27,409.87
2022-12-21,409.82,410.26
2022-12-22,406.56,406.68
2022-12-25,407.07,407.02
2022-12-26,407.59,407.13
2022-12-27,408.39,409.27
2022-12-28,407.97,408.7
2022-12-29,410.46,409.32
2023-01-02,410.66,410.22
2023-01-03,412.47,412.57
2023-01-04,412.35,413.71
2023-01-05,409.39,409.58
2023-01-08,413.77,413.94
2023-01-09,413.39,412.46
2023-01-10,414.64,413.55
2023-01-11,414.14,413.7
2023-01-12,414.43,414.7
2023-01-15,416.7,418.07
2023-01-16,418.53,418.62
2023-01-17,417.52,419.04
2023-01-18,419.37,417.85
2023-01-19,422.31,423.54
2023-01-29,422.19,421.39
2023-01-30,419.31,421.47
2023-01-31,421.26,421.39
2023-02-01,424.53,424.84
2023-02-02,419.27,419.34
2023-02-05,413.73,413.89
2023-02-06,412.85,412.59
2023-02-07,412.8,412.59
2023-02-08,413.69,413.37
2023-02-09,411.88,410.52
2023-02-12,413.7,413.01
2023-02-13,413.53,411.87
2023-02-14,412.38,413.91
2023-02-15,412.0,412.07
2023-02-16,411.36,411.43
2023-02-19,413.08,413.4
2023-02-20,412.49,413.1
2023-02-21,413.67,413.66
2023-02-22,412.74,412.5
2023-02-23,413.64,413.5
2023-02-26,413.01,413.1
2023-02-27,413.2,413.76
2023-02-28,414.71,414.58
2023-03-01,414.25,413.99
2023-03-02,416.1,415.36
2023-03-05,419.2,418.6
2023-03-06,419.54,419.8
2023-03-07,415.01,415.17
2023-03-08,415.25,414.96
2023-03-09,417.58,417.41
2023-03-12,421.16,422.6
2023-03-13,426.33,425.31
2023-03-14,426.53,425.95
2023-03-15,430.29,429.21
2023-03-16,432.46,430.98
2023-03-19,446.46,440.81
2023-03-20,441.47,442.77
2023-03-21,435.1,434.69
2023-03-22,438.09,438.62
2023-03-23,439.63,440.7
2023-03-26,437.65,438.52
2023-03-27,435.12,436.02
2023-03-28,436.99,437.93
2023-03-29,437.66,437.08
2023-03-30,440.01,439.01
2023-04-02,434.87,436.16
2023-04-03,439.88,439.57
2023-04-05,446.5,445.95
2023-04-06,446.33,446.15
2023-04-09,442.02,442.18
2023-04-10,443.7,442.47
2023-04-11,447.45,447.22
2023-04-12,447.84,447.34
2023-04-13,449.76,451.33
2023-04-16,445.29,444.27
2023-04-17,443.47,442.72
2023-04-18,443.24,444.76
2023-04-19,444.06,443.78
2023-04-20,442.05,444.61
2023-04-23,440.8,441.28
2023-04-24,444.59,444.25
2023-04-25,445.83,446.07
2023-04-26,446.46,446.24
2023-04-27,443.25,443.85
2023-05-03,453.24,453.77
2023-05-04,455.57,455.84
2023-05-07,450.32,449.49
2023-05-08,451.01,451.07
2023-05-09,453.01,453.03
2023-05-10,452.91,453.99
2023-05-11,449.94,450.43
2023-05-14,451.91,452.19
2023-05-15,450.64,452.07
2023-05-16,448.79,449.07
2023-05-17,447.97,448.36
2023-05-18,446.32,446.02
2023-05-21,448.22,448.53
2023-05-22,446.49,446.39
2023-05-23,448.74,449.56
2023-05-24,446.97,446.36
2023-05-25,444.53,444.84
2023-05-28,444.6,443.86
2023-05-29,443.65,444.48
2023-05-30,449.55,448.25
2023-05-31,449.82,449.74
2023-06-01,451.16,451.93
2023-06-04,446.09,446.21
2023-06-05,449.03,449.57
2023-06-06,449.71,450.29
2023-06-07,447.6,448.0
2023-06-08,451.17,450.5
2023-06-11,451.55,450.33
2023-06-12,452.72,452.03
2023-06-13,449.98,449.94
2023-06-14,446.1,448.24
2023-06-15,450.01,450.52
2023-06-18,450.45,450.37
2023-06-19,451.13,450.58
2023-06-20,449.33,449.43
2023-06-25,448.65,448.21
2023-06-26,448.49,449.43
2023-06-27,446.68,446.93
2023-06-28,447.5,447.63
2023-06-29,448.6,448.71
2023-07-02,449.46,449.7
2023-07-03,450.08,450.18
2023-07-04,450.44,450.44
2023-07-05,450.45,450.32
2023-07-06,449.56,448.77
2023-07-09,451.0,450.61
2023-07-10,450.99,450.96
2023-07-11,450.91,451.18
2023-07-12,455.0,454.5
2023-07-13,452.74,454.39
2023-07-16,454.36,453.78
2023-07-17,455.77,454.97
2023-07-18,461.27,460.58
2023-07-19,460.93,461.46
2023-07-20,458.25,458.57
2023-07-23,457.98,457.48
2023-07-24,455.85,456.68
2023-07-25,457.59,456.99
2023-07-26,458.7,458.38
2023-07-27,455.23,455.4
2023-07-30,455.28,455.27
2023-07-31,456.69,456.94
2023-08-01,456.38,455.7
2023-08-02,454.49,454.52
2023-08-03,453.88,453.56
2023-08-06,455.06,455.54
2023-08-07,455.21,455.25
2023-08-08,454.8,454.76
2023-08-09,453.43,452.99
2023-08-10,455.19,454.21
2023-08-13,455.89,455.39
2023-08-14,455.91,455.49
2023-08-15,457.06,456.85
2023-08-16,457.14,456.48
2023-08-17,455.82,456.11
2023-08-20,457.67,456.77
2023-08-21,457.32,456.91
2023-08-22,458.58,458.05
2023-08-23,460.04,460.12
2023-08-24,458.84,459.33
2023-08-27,459.06,458.63
2023-08-28,460.59,460.21
2023-08-29,461.99,462.18
2023-08-30,463.51,463.53
2023-08-31,463.01,461.92
2023-09-03,465.28,465.3
2023-09-04,465.67,465.19
2023-09-05,464.68,465.56
2023-09-06,464.49,464.88
2023-09-07,467.41,467.22
2023-09-10,467.92,468.49
2023-09-11,468.62,468.2
2023-09-12,470.0,469.14
2023-09-13,474.58,474.68
2023-09-14,470.43,479.08
2023-09-17,467.83,469.83
2023-09-18,471.06,469.81
2023-09-19,473.9,474.13
2023-09-20,472.87,475.58
2023-09-21,471.71,473.07
2023-09-24,474.25,472.6
2023-09-25,474.34,473.78
2023-09-26,466.49,473.14
2023-09-27,450.36,461.52
2023-10-08,454.8,454.6
2023-10-09,448.86,450.09
2023-10-10,450.93,449.5
2023-10-11,453.5,452.83
2023-10-12,455.18,453.22
2023-10-15,462.53,462.89
2023-10-16,463.52,462.53
2023-10-17,466.7,467.67
2023-10-18,469.78,470.11
2023-10-19,474.96,476.2
2023-10-22,473.98,474.18
2023-10-23,473.13,474.19
2023-10-24,472.52,472.99
2023-10-25,475.19,474.46
2023-10-26,475.42,475.68
2023-10-29,477.88,480.59
2023-10-30,478.25,477.89
2023-10-31,476.06,476.2
2023-11-01,476.83,476.65
2023-11-02,476.83,476.3
2023-11-05,474.76,476.48
2023-11-06,472.83,473.42
2023-11-07,470.7,471.17
2023-11-08,467.94,468.27
2023-11-09,470.55,470.08
2023-11-12,468.84,468.66
2023-11-13,470.66,469.67
2023-11-14,472.23,471.73
2023-11-15,470.82,470.34
2023-11-16,471.93,472.86
2023-11-19,467.54,470.56
2023-11-20,466.46,466.25
2023-11-21,464.8,467.09
2023-11-22,464.3,464.29
2023-11-23,464.82,464.39
2023-11-26,469.23,468.82
2023-11-27,471.82,470.29
2023-11-28,474.38,475.24
2023-11-29,474.54,474.64
2023-11-30,474.73,474.36
2023-12-03,480.89,482.53
2023-12-04,473.65,474.23
2023-12-05,472.88,471.77
2023-12-06,473.57,473.86
2023-12-07,474.3,474.58
2023-12-10,471.23,470.6
2023-12-11,468.86,466.75
2023-12-12,468.89,469.16
2023-12-13,475.37,475.05
2023-12-14,474.81,474.47
2023-12-17,474.35,472.77
2023-12-18,474.77,474.87
2023-12-19,476.9,475.59
2023-12-20,476.36,477.34
2023-12-21,479.1,479.82
2023-12-24,479.26,478.95
2023-12-25,481.46,480.2
2023-12-26,482.03,481.41
2023-12-27,482.65,484.4
2023-12-28,480.93,479.94
2024-01-01,482.37,480.92
2024-01-02,482.4,482.56
2024-01-03,480.93,479.76
2024-01-04,481.33,481.66
2024-01-07,482.05,480.88
2024-01-08,479.61,480.74
2024-01-09,478.9,479.79
2024-01-10,479.06,478.66
2024-01-11,480.0,479.59
2024-01-14,482.67,481.95
2024-01-15,483.27,482.77
2024-01-16,479.98,481.27
2024-01-17,478.14,478.13
2024-01-18,480.05,479.82
2024-01-21,478.83,481.0
2024-01-22,478.84,477.67
2024-01-23,478.85,478.79
2024-01-24,476.42,476.45
2024-01-25,478.61,478.35
2024-01-28,479.78,479.21
2024-01-29,480.92,480.3
2024-01-30,481.19,481.11
2024-01-31,481.87,482.22
2024-02-01,483.65,483.41
2024-02-04,480.74,482.55
2024-02-05,479.56,479.85
2024-02-06,480.8,480.89
2024-02-07,482.02,482.01
2024-02-08,480.24,481.89
2024-02-18,480.07,479.25
2024-02-19,479.91,479.59
2024-02-20,479.78,480.43
2024-02-21,479.57,479.05
2024-02-22,478.32,479.61
2024-02-25,480.91,480.69
2024-02-26,480.57,480.64
2024-02-27,480.42,480.74
2024-02-28,480.99,480.73
2024-02-29,482.99,482.71
2024-03-03,489.12,489.9
2024-03-04,496.29,494.44
2024-03-05,499.33,498.14
2024-03-06,505.09,502.98
2024-03-07,505.12,504.65
2024-03-10,507.54,508.34
2024-03-11,505.42,507.29
2024-03-12,504.6,504.27
2024-03-13,505.41,506.76
2024-03-14,506.75,505.35
2024-03-17,503.1,503.92
2024-03-18,503.97,505.32
2024-03-19,504.64,504.73
2024-03-20,514.3,513.87
2024-03-21,511.4,510.53
2024-03-24,511.92,513.44
2024-03-25,512.91,512.82
2024-03-26,515.3,514.73
2024-03-27,518.58,516.87
2024-03-28,529.8,527.45
2024-03-31,532.97,532.05
2024-04-01,533.38,530.99
2024-04-02,540.16,539.42
2024-04-07,553.7,551.65
2024-04-08,555.55,555.88
2024-04-09,557.69,556.64
2024-04-10,554.01,555.01
2024-04-11,568.1,566.59
2024-04-14,560.78,562.35
2024-04-15,564.66,565.84
2024-04-16,565.63,567.05
2024-04-17,563.37,560.96
2024-04-18,565.83,571.14
2024-04-21,556.11,562.69
2024-04-22,542.93,545.87
2024-04-23,548.15,546.9
2024-04-24,547.68,547.56
2024-04-25,551.65,549.69
2024-04-28,548.52,549.69
2024-04-29,546.99,548.23
2024-05-05,544.08,543.6
2024-05-06,545.28,545.43
2024-05-07,544.54,542.89
2024-05-08,543.61,543.31
2024-05-09,556.44,551.8
2024-05-12,553.36,555.15
2024-05-13,551.81,552.74
2024-05-14,555.46,555.63
