date,close_gold,open_gold,high_gold,low_gold,EMA12,EMA26,MACD_diff,MACD_dea,MACD_hist,RSV,KDJ_K,KDJ_D,KDJ_J,RSI,MA20,STD20,BOLL_upper,BOLL_middle,BOLL_lower,MA5_gold,volatility_gold,return_gold,next_day_return,label
2022-02-06,-1.109036907481812,-1.1103892107995768,-1.1106766759555549,-1.10892565331685,372.73226209852345,372.46927469714615,-0.6485734905900044,-0.61521660466366,-0.2287848377384041,30.842230130486602,-0.8359634647446631,-0.15629606125288714,-1.4148945460428437,-0.599958458020721,372.592,2.703460939727356,-1.0952260741937907,-1.0944419093953843,-1.087485579000096,-1.0980373273385053,-0.717233286987378,0.6753725585249793,0.005631601638284045,1
2022-02-07,-1.0962262657724842,-1.094141017028269,-1.0952041313274428,-1.0953411507763158,372.80576023721216,372.5241432380983,-0.6455222118053009,-0.6282994313615565,-0.17720491105704997,55.63463819691571,-0.6112174430282818,-0.3389349446621781,-0.7890225239626725,-0.579462385728065,372.697,2.683579894959626,-1.0948380920010417,-1.0937801605631163,-1.0865206745888043,-1.1016001021529165,-0.7199485791145971,0.5587521440965525,0.0046354599287265034,1
2022-02-08,-1.0856222417738535,-1.0870286001321492,-1.0873149682561916,-1.085506216810318,373.13410481610254,372.70309559083177,-0.6210537645141425,-0.6335775787462267,-0.07852306090183037,76.15658362989338,-0.20726066047480954,-0.30486356204751686,-0.06001601317286623,-0.44808714720329945,372.818,2.7293465576175695,-1.0935741161164503,-1.093017573813551,-1.0863242659539192,-1.1038068035085546,-0.7136979086766977,0.4376531104398305,0.002480396863498178,1
2022-02-09,-1.0799218126878842,-1.078935160215875,-1.0800373682137199,-1.0789905730578444,373.55501176747134,372.93768110262204,-0.5905368062973781,-0.6313294998288504,0.016638047756943056,87.18861209964433,0.19865500244748863,-0.12556300975090182,0.5140156144150414,-0.3351704738864671,373.1085,2.729542616398717,-1.0918441256734455,-1.0911867353776101,-1.0843905664859657,-1.097568865598202,-0.7136711315696019,0.1756662343111165,-0.005054939207704731,0
2022-02-10,-1.0915678506054554,-1.090278238886411,-1.0913512842461341,-1.0906695571424665,373.6188561109373,373.0141491690945,-0.592604403179411,-0.6299694351003694,0.0054100549583470684,64.65005931198151,0.19016741394626374,-0.009303486028504126,0.3708804487776657,-0.3351704738864671,373.394,2.483224559021234,-1.0930760033259928,-1.089387408790825,-1.0792039394338035,-1.0910597129960953,-0.747312496487937,-0.7403900935648958,0.01585688691606265,1
2022-02-13,-1.0552199533153521,-1.0489526441624049,-1.0501319361064196,-1.054218833130988,374.58518594002385,373.524212193606,-0.5178740069222286,-0.6130360863739501,0.20231763004664516,91.03999999999996,0.5112993235047328,0.1920829230193718,0.759958987282167,0.2920584027274548,373.959,2.6169767611541612,-1.0881249421724337,-1.0858265698362417,-1.077220997535239,-1.0802357812069856,-0.7290450308847592,1.8018204285813582,0.011266122663858989,1
2022-02-14,-1.0289857205326127,-1.0376708794306286,-1.0308065443969985,-1.0360242052938922,376.0613111800202,374.31352980889443,-0.40538410971245464,-0.57563785683615,0.46107423241603446,100.0,0.8363401880226453,0.4517285100266551,1.09279288314632,0.5986643982696617,374.585,3.414124685541077,-1.074920422808999,-1.0818812863219602,-1.0836751247097995,-1.0667120304408655,-0.6201730119036409,1.2437300390777581,-0.013977822895517737,0
2022-02-15,-1.0619011013838533,-1.0658139773213093,-1.0636474790424386,-1.064238172108848,376.484186383094,374.64660167490223,-0.39067552496145014,-0.5426005704467514,0.40593475505445986,65.70881226053642,0.6284015558508079,0.5446110224128345,0.596877502791735,-0.3077082692635558,374.8455,3.531749938993254,-1.0719721007772904,-1.080239518980953,-1.0835068254862315,-1.061941117454094,-0.6041081154964235,-1.8251279191756409,0.010110609540402798,1
2022-02-16,-1.0384251407394862,-1.048707388407366,-1.0402246150401975,-1.0470885060056396,377.4312346318488,375.23870525453907,-0.33254033847278536,-0.5038441735807103,0.4782468104800757,88.31562974203322,0.7697191627067627,0.6610474717368428,0.7377034982038846,-0.031802066748048544,375.26149999999996,3.9337196472496343,-1.0647168903257396,-1.0776177331312071,-1.0860926161135165,-1.0535951017123772,-0.5492083254219758,1.1032565288475966,0.007265314656073671,1
2022-02-17,-1.0213851484179872,-1.022403708679475,-1.0232231628401371,-1.0207185893093083,378.66027545771817,375.9928752356843,-0.25476284942167776,-0.456347675454704,0.5887560739953224,100.0,1.0086200808239985,0.8308303490093543,1.0053369813361228,0.23452169159700295,375.817,4.531335460174128,-1.054304958210266,-1.074116766690019,-1.090356715020938,-1.0394796098006114,-0.46758779033976744,0.757359496673566,-0.00025945721550522217,0
2022-02-20,-1.0219980977820702,-1.0170080820686256,-1.018269502307026,-1.020902994321171,379.684848464223,376.6837733663744,-0.20011137041712865,-0.40676256953459833,0.6151642931031917,92.57748776508951,1.0759733593547438,0.970001179565685,0.9810238247874584,0.18366117570823487,376.4625,4.923055186408229,-1.0458067850142427,-1.0700485869640306,-1.0912761434887421,-1.032797866031024,-0.41408791137735596,-0.15741256175209384,0.011445032700093494,1
2022-02-21,-0.9949670308260233,-0.997510249543056,-0.996864796299756,-0.9957624443705894,381.2302563928041,377.6501605244207,-0.10527551738261641,-0.34698617108018137,0.7440223233177814,100.0,1.2127895452559863,1.1155600365160245,1.0814896257141793,0.38869509670687546,377.35749999999996,5.615012654060821,-1.032253646855886,-1.0644079659651775,-1.0945349813470244,-1.0259558590344908,-0.3195824824002444,1.2654797884272746,-0.007158802247710005,0
2022-02-22,-1.0120683180839305,-1.0133292457430467,-1.0139274048026943,-1.0116212753907607,382.1086784862189,378.338296781871,-0.07410924409434105,-0.2925567793833738,0.6764151227580927,82.29695431472067,1.0847810616529185,1.1632186363575774,0.7866036222007757,0.6966968783844034,378.124,5.831308781505504,-1.025122418417579,-1.0595771994896228,-1.092309336102088,-1.01593324338011,-0.290041420606963,-0.9961526810023127,0.02067504005789011,1
2022-02-23,-0.9630323689573153,-0.9986139004407298,-0.9650023625003626,-0.9968688744417641,384.0827279498775,379.5680525758065,0.047796097938873815,-0.22316533211582282,0.8655943659518535,100.0,1.218661346788103,1.2466367844578048,0.9494010929685965,1.2131711100608487,379.0555,6.91380196647106,-1.0067070283005606,-1.0537065419919338,-1.1005310773289079,-1.0007698765229294,-0.1421978209750103,2.387554048494368,-0.012356307287182853,0
2022-02-24,-0.9929442979245505,-1.0030285040314249,-0.9948466383047849,-1.001294594726463,385.002308265281,380.3452338664875,0.07111915242683321,-0.16270692119858096,0.7526456438873319,70.72585482903425,0.9454090635042462,1.1968388998998407,0.48550255878205245,0.6656971731199138,379.73850000000004,7.301514100369524,-0.9980335033309655,-1.049402023397278,-1.101147126627407,-0.9950497121150172,-0.08924528668412839,-1.6280033822300974,-0.005614520842947233,0
2022-02-27,-1.0063678889979615,-1.0008212022360774,-1.0021242383472566,-1.0052285683128621,385.44349160908394,380.90262395045136,0.052086043612201025,-0.11837583627283645,0.5487327983972807,57.58848230353938,0.6005589654907572,1.0306107060762908,0.013017679327044262,0.39420576047835626,380.3625,7.442249147161183,-0.9926485014221729,-1.0454693446226588,-1.0988640108008725,-0.991906087278772,-0.07002412557103355,-0.8084173577881987,7.734550235896748e-05,1
2022-02-28,-1.0061840041887369,-1.0135131875593255,-1.0080563997264145,-1.011805680402623,385.82141597691714,381.4209481022698,0.029090438000673527,-0.08778679152551531,0.3749793493073168,49.27953890489897,0.26776809968205645,0.7914142835447758,-0.35686123402769526,0.316543145139907,380.9525,7.553449455991011,-0.9878170012900276,-1.0417509464222976,-1.0964137956461562,-0.9941621003965477,-0.05483672839761888,-0.11646810246984504,0.014462490332559974,1
2022-03-01,-0.9717975448636977,-0.9687540122647789,-0.9701394919421074,-0.9705604260827205,387.00427505739145,382.3164334280276,0.07615841302875176,-0.05333560007094276,0.42381207738578824,85.13513513513507,0.48991235201111594,0.7176445169948659,0.1451154285903503,0.518114854230873,381.7915,7.979645998611619,-0.9777579666989475,-1.036463258133987,-1.0965030665807742,-0.9860626434655174,0.003371888420350796,1.632306315101035,-0.003024065462122939,0
2022-03-02,-0.9790916422962818,-0.9775832194461689,-0.978945999556527,-0.9778751582199313,387.82207889471584,383.05743835928484,0.0887370460236771,-0.02310756383356907,0.3704147815328238,72.76507276507273,0.4848283193299795,0.6665034527858062,0.19135325694974165,0.575222160569178,382.867,7.870471864406971,-0.9726603232279473,-1.0296850593806162,-1.0878789861620952,-0.989292563885502,-0.011538780036218367,-0.4935006744098378,0.0036449836867863145,1
2022-03-03,-0.9703264663898993,-0.9718197092027615,-0.9722799625428344,-0.9700072110471331,388.73406675706724,383.8494799623008,0.10838263803218152,0.005240375505518162,0.34664296043063353,85.38083538083538,0.6376617053873587,0.691366519055224,0.4540840584541623,0.38469301191869176,384.12,7.479777649383134,-0.9698555600199749,-1.0217881899822219,-1.0743188726217876,-0.9847435538283477,-0.06489859782236182,0.3172428167957542,0.02168888888888894,1
2022-03-06,-0.9179805906972373,-0.903086783853191,-0.904641091559861,-0.9165912259443083,390.81959494828766,385.2154444095378,0.22623754919598843,0.05290783659196269,0.5909177183841522,86.00777345918942,0.7473140907503394,0.7502414739772713,0.5977435183823352,0.5659069055360401,385.6785,7.865865144641471,-0.9559945950232849,-1.0119659466004198,-1.0690776629045622,-0.9669666635778963,-0.012167951694836171,2.510805702882472,0.018170971189937612,1
2022-03-07,-0.8731739921827926,-0.9172503037066707,-0.8753472224813399,-0.9153003908612712,393.7088880331665,387.02170778660906,0.40362332087872993,0.12865341153658622,0.9459355369508184,100.0,0.9936833661863831,0.8845310201555308,0.9183264077440203,1.263476498023337,387.498,8.962283308692324,-0.9321324719795069,-1.0004987846926954,-1.0715661173820887,-0.9402150326184794,0.13757747887828362,2.083139207503863,0.014355468749999989,1
