date,open_stock,high_stock,low_stock,close_stock,volume,close_gold,open_gold,high_gold,low_gold,EMA12,EMA26,MACD_diff,MACD_dea,MACD_hist,RSV,KDJ_K,KDJ_D,KDJ_J,RSI,MA20,STD20,BOLL_upper,BOLL_middle,BOLL_lower,MA5_stock,MA5_gold,volatility_stock,volatility_gold,return_stock,return_gold,next_day_return,label
2022-02-14,1.9086747360899619,1.8644455995168576,1.8624760526317543,1.828990629513803,14367389400,-1.0317486530438162,-1.0399785557986891,-1.0331669500180876,-1.038491889821875,375.3566760658193,374.1225940146079,-0.5882298198165294,-0.7232496338880653,0.31899719193088766,100.0,0.5961215512439614,0.23575566177360252,0.8648800501112462,0.28643065499311754,373.769,3.5229964817646877,-1.081923323359149,-1.0888993008716579,-1.0885940065610575,2.03311320701267,-1.0775469669563111,0.26972968164052297,-0.6582866150559369,-1.327673629049655,2.707748378591424,0.010636713236935389,1
2022-02-15,1.8362596333232795,1.8864340805012119,1.9210938685947674,1.966083711636945,11502560000,-1.0646711840767384,-1.0681150760000042,-1.06600065009933,-1.066700599296835,375.88795667107786,374.4698092727851,-0.5617999579288528,-0.696086231941742,0.321672029117412,65.70881226053642,0.45239908009258883,0.33464638115768086,0.4894421880449686,-0.23771858113288966,374.0835,3.6827625143147897,-1.0781669115956365,-1.086899935435851,-1.0886282532739695,2.013690287929501,-1.0706298380799018,0.3102616186165667,-0.6397221166616147,0.7322132760833074,-1.5922891918832225,0.003888173808282013,1
2022-02-16,2.0229881784128105,2.0035232337495565,2.0832614327704877,2.016730140777799,10725895500,-1.0411901237683414,-1.051012485289401,-1.042582945944552,-1.0495541288316632,376.92673256783513,375.0750085859121,-0.4995428877916316,-0.6611633775737823,0.42065527237877504,90.16602809706247,0.6659235049011353,0.48356711449326784,0.7301252968872672,0.21962583169350325,374.7125,4.018407481106251,-1.0704631617833682,-1.0829012045642377,-1.0889160657695656,2.018957055289681,-1.0611187858748388,0.2972287284485033,-0.6007208324236255,0.26321900579473856,0.9169761679170303,0.0024201010439826483,1
2022-02-17,2.0146464019607158,2.0233693771159453,2.082500311075372,2.0483763720244847,11001464300,-1.0241464298630296,-1.0247149533365378,-1.025585239012363,-1.0231891258583343,378.2333890958605,375.8413042462149,-0.4219527094671043,-0.6167839102102957,0.5412882982292464,100.0,0.9326550234211703,0.6865219513136331,1.0126417660773808,0.38400810530107166,375.5705,4.38356316854587,-1.0610529886058109,-1.077446655934914,-1.0880470556117898,2.0058724301292297,-1.0493226107373899,0.2732805207622679,-0.5582904605545327,0.1611943051758426,0.6205849473319384,0.0011122956299894997,1
2022-02-21,2.09709143051573,2.0135657927670847,2.100655638727685,2.062956404655944,11251651200,-0.9977225734846505,-0.9998273123741547,-0.9992326789844012,-0.998237631202923,380.0020984657281,376.87009652427304,-0.3157083410678304,-0.5587673941710196,0.715248937858763,100.0,1.1104760357678607,0.8909414078138603,1.1269042293321556,0.36491586571879897,376.47400000000005,5.301291203193157,-1.0448256597926906,-1.0717028509388837,-1.09438966671009,2.0027012829849555,-1.0298558337566373,0.19397269592448638,-0.4516522699848871,0.07030749147347577,1.0286448520301934,-0.012981640864214218,0
2022-02-22,1.9722927993507207,1.8881575095823262,1.921840683491105,1.8926030655335573,12331723700,-1.0148275756414205,-1.0156426113108417,-1.0162915287472813,-1.014093507116953,381.06946793253917,377.6160153002528,-0.2695513783527796,-0.502573624995674,0.6919971171847654,82.29695431472067,1.0051119695181594,0.9862676893707669,0.8271989603031276,0.11911529231536969,377.14099999999996,5.741582305290214,-1.0356567922908262,-1.06746254332145,-1.0958432425849134,2.01553959990623,-1.0264466773818355,0.20991240821627385,-0.40049131087831447,-0.9091600705781911,-0.8819593543222253,0.01068919207556007,1
2022-02-23,1.9159872221594945,1.9534735037299369,2.003363684301523,2.0310524956136735,12295291600,-0.9657809744750556,-1.000930705323226,-0.9673772641942201,-0.9993438551039019,383.2033959429177,378.89927342616,-0.14740406537354175,-0.43173586940171743,0.878802730677233,100.0,1.1587806664991867,1.1095471504142196,0.9831515440599999,0.4962571958867851,378.17199999999997,6.935555682970168,-1.0154007634279525,-1.060908184770363,-1.1050782117362632,2.0286516561466836,-1.0065228758146054,0.08000524134918326,-0.26175395539036445,0.735860328143473,2.0174612083639656,-0.02027407465249632,0
2022-02-24,1.9444425768840492,1.9129349655233945,1.7434978526142753,1.7656500294102706,18440305800,-0.9956994011865381,-1.0053442771195107,-0.9972149655715875,-1.0037687507078172,384.2582581055458,379.7259939131111,-0.1146453029308819,-0.36812415701569473,0.786623907507497,76.72865999046256,0.9668862364889095,1.1171471096272851,0.6152532354886802,0.12599427843026306,378.9595,7.355424403655829,-1.0057599673180122,-1.055901824577365,-1.1054337239608245,1.9779784506532683,-0.9973576800533628,0.14506176150490277,-0.21296603679101725,-1.4159526438929102,-1.4233777047121938,0.01155295089615002,1
2022-02-28,1.8643445566189463,1.8307473597676647,1.864247234320768,1.9138204251194013,13540697800,-1.0089419835014568,-1.0158265101356867,-1.0104218170009143,-1.014277877767116,384.81852608930797,380.3314758454733,-0.12113755383982809,-0.3186104804384731,0.606782698084162,57.76844631073777,0.5991443145223626,0.9792782453499118,0.07360639429283687,0.3874032378801359,379.763,7.413123569227254,-1.0003158254668718,-1.050793747859811,-1.1007507121478795,1.9508222529331638,-0.9942943801223811,0.1101060464032676,-0.20626150736440999,0.7958878262489041,-0.7130815094484015,0.008302692962310917,1
2022-03-01,1.9608037696134786,1.9482244954192618,2.016588889094116,2.0215354069218243,12313922000,-0.9745480544335433,-0.9710777960900224,-0.9725132619722914,-0.973040309013961,386.15567592172215,381.3076628198827,-0.06930705649244828,-0.26801677363449095,0.6205600742256743,91.4217156568686,0.7796358305210735,0.9575198839045395,0.4353027985391021,0.7428658080249804,380.858,7.755004224777507,-0.9897773049703679,-1.0438325232104995,-1.0979519460276705,1.9424626313028768,-0.9896253181308052,-0.05924804133401825,-0.16653564837105903,0.5700089728990437,1.370306775908617,-0.008893461590246619,0
2022-03-02,1.9499509770632617,1.8655280141926,1.9436957493080285,1.905198129651778,11329832500,-0.9818437363570401,-0.9799049396825917,-0.9813178295918424,-0.9803536781370988,387.10403347222643,382.1233914998914,-0.050262935558775014,-0.22350640189817034,0.5429581762922999,81.1239193083573,0.7697150681912113,0.9391582652555232,0.43638473875992495,0.49894605678652204,381.6585,8.08031674405229,-0.9811799114548306,-1.0387435183412996,-1.0969319423760258,1.9450045780496297,-0.9829799336031115,-0.17389438602561286,-0.12873497418935712,-0.6250493121431725,-0.4512483972865126,-0.005891100796946482,0
2022-03-03,1.9528013196611296,1.8806537049860812,1.9036052377656185,1.828820732066164,13828587700,-0.9730766563985523,-0.974142776504109,-0.974653261046488,-0.9724871970634714,388.1264898611147,382.9846217591587,-0.027112546818399624,-0.18299258932483223,0.49197617829269336,87.5912408759124,0.8449011102694229,0.9561408187030336,0.559136430552651,0.48773253901917496,382.52599999999995,8.410645760300723,-0.9721261251784692,-1.0332285755255213,-1.0955242385132544,1.9041899884123883,-0.9844498234893486,-0.4394124649344976,-0.09035139293707219,-0.41639823670923626,0.24345907513534945,-0.04368766516068524,0
2022-03-07,1.5781056877579935,1.495820144426294,1.3138017353245335,1.2657522743529197,16219770600,-0.8759030778376921,-0.9195861251333678,-0.8777418744007353,-0.9177905708484073,391.4301068055586,384.95613125848024,0.1641641728487707,-0.1100504335793519,0.905647453835365,100.0,1.0519734270000292,1.0479482751053917,0.8489400573869875,0.9294550821660061,384.201,10.207416756560244,-0.9409119103041299,-1.022580126861049,-1.1085812549706042,1.8033001906114103,-0.9603139845170193,-0.1531735633269184,0.1184298588885567,-3.0430958074344074,4.056976499993094,-0.020076144476010634,0
2022-03-08,1.2928593489088,1.2740797665672179,1.068397215844504,1.0183051367407105,16786327700,-0.839853825980414,-0.8386093425932001,-0.840383604848335,-0.8380195362111561,395.1300903739342,387.2171585726669,0.37078326581581167,-0.007914588981474978,1.2780559497384572,99.2044275337255,1.1799590899285288,1.1588992611423745,0.9699578145271505,1.1785371049977007,386.1385,12.198182899622116,-0.9058437745865899,-1.010262891465578,-1.12249232040641,1.6225665196593433,-0.9262471248007023,0.4385193826426644,0.34975296478563306,-1.4021973536304162,1.3591584560425032,-0.009153908750686649,0
2022-03-09,1.0647669035002016,1.0515100060345215,0.5409169902505534,0.9077443726903525,19423290000,-0.9183896960980555,-0.9309265526654883,-0.9201138560698245,-0.9291600942751342,396.290076470252,388.3618134932101,0.37298466257367113,0.07426055770702927,1.0234278510699586,54.894500172950615,0.7048426792780328,1.0481963057102726,0.19789400027553225,0.175311281102159,387.7315,12.171347404111875,-0.8967238042956033,-1.0001357399894568,-1.1112855757464377,1.3977802486682585,-0.914932678281432,0.8852794433579317,0.346634733047892,-0.6431492621028166,-3.3479502793775118,0.015732502734040445,1
2022-03-10,1.192650578092069,1.1392024635697364,1.1713174649108733,1.0960218925385392,14526638300,-0.9123814874551761,-0.9002154489163403,-0.9018321496931179,-0.9107230292588204,397.4223723979056,389.4942717529723,0.3729613533778933,0.13999573589179523,0.8137118410745722,58.284330681425054,0.4309736109924884,0.8679457341086674,-0.12233896595143279,0.49727900336734243,389.47950000000003,11.797417413636804,-0.8907983346868621,-0.9890232096816973,-1.0942995076939366,1.2344715998059572,-0.9009378443225532,1.12685346457777,0.30318480444315915,1.0863485822492343,0.11728669015857175,-0.027506052524239943,0
2022-03-14,0.9719441394946143,0.9836946179992887,0.8458377926570025,0.761666547211294,13018723600,-0.9725861903868888,-0.94974553240798,-0.95123555689171,-0.9710736887455542,396.8696997213047,389.81543680830765,0.2474873794141682,0.1659962262228774,0.30683737880344375,24.316845382220617,-0.1812328268725905,0.5098236685482507,-0.886216260106069,-0.13329256760672167,390.5105,11.185924178933275,-0.8919357854118536,-0.9824688511306109,-1.0789595575961803,1.0190976181401994,-0.9008390281957476,1.537009701110561,0.23213049463401655,-1.9185437927718245,-2.6704564138969724,-0.045738220035748164,0
2022-03-15,0.6250789360123323,0.6549132688427777,0.2994725926729361,0.22097924660021329,20252469900,-0.9912238988301072,-0.9869543946349911,-0.9883492551213452,-0.9897565812954187,395.93436130264246,389.88762667435896,0.10281683802687226,0.15614125691034117,-0.15055181457003533,0.0,-0.8969344261309026,-0.0071063351581913585,-1.6739027583065238,-0.36772362304318745,391.303,10.569194611551255,-0.8945483095604454,-0.9774307045236891,-1.0651714925615439,0.8082406209812604,-0.9240731700109733,2.3101356291894413,0.16046773327825686,-3.185600492705055,-0.9403214723698043,0.04324225139138098,1
2022-03-16,0.4203858804820682,0.6694401172312389,0.18229704930178647,0.7087803033857465,19602198200,-0.9682333045333738,-0.9685645121504716,-0.9698229774218731,-0.9668946206751897,395.71984417915905,390.2322469207027,0.022530550058526215,0.13124479803572736,-0.3424281660745314,15.048154093097937,-1.1837369794732833,-0.4632019812553846,-1.722719646001078,-0.38875895943428884,392.23650000000004,9.940141519166348,-0.8964714843619996,-0.9714961810441161,-1.0502560838114865,0.7457720510874365,-0.9499382912024049,2.4897154856811965,0.08737300258285202,2.998157001503895,0.8633643062577447,0.019637490222158754,1
2022-03-17,0.9423067974626085,1.0466208654601985,0.9690078847171363,0.939883306535188,17940734400,-0.9649839672061022,-0.9610859599401002,-0.9625469805696052,-0.9634530352054779,395.61986815159617,390.5905990006507,-0.04328058046021816,0.09738240074249761,-0.45680191506248796,17.174959871589003,-1.3480384474438118,-0.8311271429168897,-1.6363837841831574,-0.24516830282682955,393.2915,8.971959402846064,-0.9016932501900533,-0.9647892477061953,-1.0298977637080868,0.7522583585459948,-0.9593258232489607,2.511452245076627,-0.025127852930367248,1.3577283047563165,0.0036990383756221553,0.004967321865466561,1
2022-03-21,1.0623944457228094,1.004656913641704,0.9839441826438641,0.9994889944148154,12703636000,-0.9565847367563622,-0.9612698587649455,-0.9582058395905212,-0.959581251552052,395.7460422821198,391.02388796356547,-0.08737906359385116,0.06094811374669357,-0.48961015593286783,22.672552166934135,-1.3880381916258893,-1.0919578557472724,-1.431802988571152,-0.5144346572291866,393.9045,8.732285210642294,-0.9009014124760655,-0.960892233359138,-1.0224635710305303,0.7327760054561571,-0.9682316266773384,2.5517972174566683,-0.052977522132937084,0.3382151232455335,0.22499578533144257,-0.0008103324311898436,0
2022-03-22,0.9844228715227815,0.9920531084693663,1.0230446637106696,0.9897170595515093,12638247000,-0.9724635738839726,-0.9700970023575148,-0.9715349766812303,-0.9709507749787786,395.454343469486,391.233229595894,-0.15932323978165758,0.016555875405460913,-0.5911255453036682,12.279293739967926,-1.546160549497296,-1.3273046722779196,-1.4759862596422257,-0.40438685081575104,394.6565,7.979091938177985,-0.9053708812105175,-0.9561115567049989,-1.0070936753497617,0.7788013573319107,-0.9682069226456365,2.530504501992681,-0.1404970973148081,-0.0633068341331453,-0.81678532994287,0.004987198302350308,1
2022-03-23,1.0326157176492445,1.0039821616360476,1.0381183069056885,1.049809786781031,11708907800,-0.9453653267395564,-0.9428186766721443,-0.9443264170235901,-0.9437868325214098,395.8875213972574,391.75447184805,-0.17196835722295242,-0.021637387146419006,-0.5120484796568925,50.30262273032925,-1.170649331897442,-1.338247243141646,-0.7602712915685906,-0.11079323537317734,395.438,7.490690783970114,-0.9065279770880866,-0.9511433402087096,-0.9951272017111847,0.9460766546585134,-0.9589676147892895,2.443309252993732,-0.19724834974535055,0.33959644954743523,1.0328054270811382,-0.0058952180010041445,0
2022-03-24,0.9758463942416965,0.9656899853150054,0.9662810088695928,0.9784217109077155,10891827200,-0.9296704143663197,-0.924551393404188,-0.9261058534775747,-0.9280538703741554,396.64790272075624,392.4267331926389,-0.15931524837294597,-0.04951083194753885,-0.3804040058808723,67.51849361129764,-0.7025589897029096,-1.1636029332785254,-0.06991472093969917,-0.23423617996105794,396.2085,7.192607517078842,-0.9054951140527293,-0.9462450538230525,-0.9858260826880463,1.0004959170145546,-0.9511981968191795,2.321986425655204,-0.23188503841596608,-0.4166843645644674,0.53334199666827,-0.024190213548495272,0
