date,open_stock,high_stock,low_stock,close_stock,volume,MA5_stock,MA20_stock,volatility,next_day_return,label
2022-02-07,0.9382397380613168,0.9436259310602919,0.9427776734872659,0.9283969253256503,14484972000,0.9583967563696967,1.0,0.1988618116830279,-0.005463208526377349,0
2022-02-08,0.9305436407016905,0.9144104080261304,0.8848751642575552,0.9124601612372223,15583070800,0.9492787570690076,0.9898877193611728,0.19748663812389405,0.009392521610415518,0
2022-02-09,0.9189481366225309,0.935286134115668,0.930436768662787,0.9397094658096388,14833554700,0.9413944972184587,0.9828168267731954,0.19294580514995563,-0.00262206364018,0
2022-02-10,0.950055891496314,0.9338638235626924,0.9384512859020084,0.9320309632875932,15157666600,0.9440098468844016,0.9769794025509926,0.19547895533608092,-0.008290762033275518,0
2022-02-11,0.9251142716383787,0.9372678868194795,0.9308072085601649,0.9078157939960636,15597458400,0.9489331582264295,0.9697476583573423,0.2011657336121021,-0.010802593561300504,0
2022-02-14,0.9007325178183869,0.8936731201637489,0.8896220511857829,0.8765258017954276,14367389400,0.938150107932572,0.9601797859505301,0.2090390750355177,0.010636713236935389,0
2022-02-15,0.884495134618299,0.8986170716458921,0.9024410237156619,0.9070024946635102,11502560000,0.9370155596686014,0.9537106714551471,0.2101425298371292,0.003888173808282013,0
2022-02-16,0.9263646179881215,0.9249437239124543,0.9379050122019894,0.9182615286124622,10725895500,0.9325569289361879,0.9462624075823256,0.19552224848320982,0.0024201010439826483,0
2022-02-17,0.9244941708624919,0.9294059862206554,0.9377385645453975,0.925296693736777,11001464300,0.9311569984485346,0.9417869039237123,0.19214775945612228,0.0047678144978629865,0
2022-02-18,0.9166769699771047,0.9301538055025085,0.9321994868906827,0.9391901376754623,10455022800,0.9376791460868938,0.9393161708979094,0.19067995474641733,-0.0036381727351610564,0
2022-02-21,0.9429805289624471,0.9272017209325552,0.941708904323884,0.9285379307826875,11251651200,0.9484915088157146,0.9349647667893901,0.18416973963242494,-0.012981640864214218,0
2022-02-22,0.9149973718632762,0.8990045722543245,0.9026043426569048,0.890667264261223,12331723700,0.9450957155688804,0.9271367425844801,0.17097900644334502,0.01068919207556007,0
2022-02-23,0.9023721707902106,0.9136904028173127,0.9204323884612977,0.9214454821914513,12295291600,0.9457576008190722,0.9219878221425675,0.15636759056922261,-0.02027407465249632,1
2022-02-24,0.9087526146631646,0.9045756046558231,0.863603028596458,0.8624447702397917,18440305800,0.932691844652469,0.9123599617412088,0.1351041977134197,0.009737887748687996,0
2022-02-25,0.8913561882950591,0.9051957320569204,0.9095450847881854,0.8902089965258526,14972258300,0.9225095684162694,0.9056218994339402,0.1122757387578151,0.0017975587224016024,0
2022-02-28,0.8907925179578782,0.8860963138135434,0.8900093861460485,0.8953840226968428,13540697800,0.9156174821455858,0.8989099202863295,0.07397637881835802,0.008302692962310917,0
2022-03-01,0.9124212272288914,0.9125102011273549,0.9233245729303547,0.9193297708472479,12313922000,0.9215758888472463,0.8969867372533042,0.06660710181179798,-0.008893461590246619,0
2022-03-02,0.9099877438159534,0.8939164933028136,0.9073837682247667,0.8934672297652446,11329832500,0.9157597259706076,0.8926108535921822,0.047063579673958564,-0.005891100796946482,0
2022-03-03,0.910626866088033,0.897317395869484,0.8986164820724607,0.8764880324765782,13828587700,0.9186790612902072,0.890377290777224,0.05180799406522446,-0.012127089472162358,0
2022-03-04,0.8588497194012286,0.859386585904713,0.8592334647393778,0.841741518112592,12726680600,0.9086035660670868,0.888173411056131,0.06912816078517846,-0.03194801208959108,1
