date,open_stock,high_stock,low_stock,close_stock,volume,close_gold,open_gold,high_gold,low_gold,MA5_stock,MA5_gold,MA20_stock,MA20_gold,volatility_stock,volatility_gold,next_day_return,label
2022-02-14,0.9007325178183869,0.8936731201637489,0.8894029470811957,0.8756046949952689,14367389400,0.023104061943863385,0.019703360154389782,0.02175773893825972,0.021043429392113455,0.943076025198327,0.006946583062147904,1.0,0.0,0.22509219137833447,0.03266489006806212,0.010636713236935389,0
2022-02-15,0.884495134618299,0.8986170716458921,0.902247365721716,0.9063087413465514,11502560000,0.0147210340628805,0.012559724837750808,0.013400152522061282,0.013878048018982736,0.9386045351410677,0.00872450194459884,0.9893007732555907,0.0005292665913295691,0.2153165611978442,0.035310826484392766,0.003888173808282013,0
2022-02-16,0.9263646179881215,0.9249437239124543,0.9377817514705935,0.9176517667113977,10725895500,0.020699990633488374,0.016901934540021535,0.019360963690411404,0.01823347591245439,0.9398170355785198,0.011169140407968903,0.9808760693728291,0.0015877997739888183,0.20803054062477244,0.04086955024072759,0.0024201010439826483,0
2022-02-17,0.9244941708624919,0.9294059862206554,0.9376149734095578,0.924739413556837,11001464300,0.025039807674295145,0.023578665587599135,0.02368760991704677,0.024930531705641856,0.9368047298042232,0.014201127073577346,0.9745080722473141,0.0030317130819722538,0.2049048413744935,0.04691701048997519,0.0011122956299894997,0
2022-02-21,0.9429805289624471,0.9272017209325552,0.9415931944519329,0.9280048299497476,11251651200,0.031768085172812155,0.029897436695562996,0.03039546791589509,0.03126853788753947,0.9360746771862303,0.019204698785618035,0.9674440874951826,0.004552197550227732,0.19270789668776,0.062115798294881806,-0.012981640864214218,0
2022-02-22,0.9149973718632762,0.8990045722543245,0.9024110088567929,0.8898516515434785,12331723700,0.027412657279340613,0.025882059981635175,0.026053258213624364,0.027240937900028128,0.9390302785672389,0.02008095880625449,0.9599122713389807,0.005674680273333732,0.19506776410162402,0.06940760020189618,0.01068919207556007,0
2022-02-23,0.9023721707902106,0.9136904028173127,0.9202744439581827,0.9208594723076962,12295291600,0.03990133941115859,0.02961729413412606,0.038504038721927425,0.030987542539573587,0.9420488994479803,0.025202000158742854,0.952417133973205,0.007409732278614634,0.17490858538759468,0.08918137557647077,-0.02027407465249632,1
2022-02-24,0.9087526146631646,0.9045756046558231,0.8633322758183093,0.8614186201665626,18440305800,0.03228324331074961,0.02849672388837876,0.030909062611862548,0.029863561147709827,0.9303830559378969,0.027557742677990382,0.9444481699557055,0.008735002360242827,0.18403916168401796,0.09613495588642784,0.01155295089615002,0
2022-02-28,0.8907925179578782,0.8860963138135434,0.8897910509149596,0.8946035965875794,13540697800,0.028911299135158774,0.025835369554728982,0.02754735187462065,0.027194105342033814,0.924131232121999,0.028345106754504412,0.9381959349997944,0.010087198564164401,0.17913318418987134,0.09709053024062889,0.008302692962310917,0
2022-03-01,0.9124212272288914,0.9125102011273549,0.9231723695149769,0.9187279779405233,12313922000,0.03766898748009617,0.03719670676855569,0.03719670676855569,0.03766898748009617,0.9222067034328654,0.029545202000158755,0.9316732065949203,0.011929955058618935,0.15536461471374413,0.10275252523493861,-0.008893461590246619,0
2022-03-02,0.9099877438159534,0.8939164933028136,0.9071999217522477,0.8926725045471033,11329832500,0.03581129601298827,0.03495556627706109,0.03495556627706109,0.03581129601298827,0.9227919032967744,0.03125327406937062,0.9248771218419232,0.01327710261461057,0.1392741875773567,0.10814013001987613,-0.005891100796946482,0
2022-03-03,0.910626866088033,0.897317395869484,0.8984152322290448,0.8755666439205796,13828587700,0.038043647944050685,0.036418532986786656,0.03665198512131729,0.037809485154079114,0.9133956827301049,0.030875466306849786,0.915719852585617,0.014737003307705665,0.10200915907976547,0.113610814617294,-0.04368766516068524,1
2022-03-07,0.8266101855039714,0.8107903432066972,0.7691766555857482,0.7494590405548354,16219770600,0.06278684941771528,0.05027002630227384,0.06132009400339289,0.05170314402572673,0.8901691159193041,0.03707913326454482,0.9011035735279909,0.017555831735296068,0.1421823211836778,0.14336771434702142,-0.020076144476010634,1
2022-03-08,0.7626504045555218,0.7609336172897336,0.7154032706055546,0.69403955282377,16786327700,0.07196603078460151,0.07082937761660935,0.07082937761660935,0.07196603078460151,0.8485611161529629,0.04583538376061591,0.8871912308522982,0.020816416856762276,0.22522545927804344,0.1763374298131275,-0.009153908750686649,0
2022-03-09,0.7115060396420665,0.7108904106558245,0.599821058426242,0.6692778159697821,19423290000,0.051968528521027846,0.04739078330972879,0.050534605388075304,0.0488151362827437,0.796811450129999,0.04874355107548223,0.8708233627256519,0.023497248907598745,0.28792750375861587,0.1758929985802335,0.015732502734040445,0
2022-03-10,0.7401809451527841,0.7306074277482044,0.7379553009717013,0.7114453827557607,14526638300,0.05349839208217555,0.05518808460305369,0.05518808460305369,0.05349839208217555,0.7592149901681684,0.05234066195729836,0.8598082740008706,0.026438927768152598,0.32183202288601126,0.16970022428920334,-0.027506052524239943,1
